entry_date,exit_date,entry_price,exit_price,exit_ema250,shares,invested,exit_value,profit,profit_pct,days_held
2023-02-24,2023-04-10,23185.29,29637.34,25132.661747077458,0.43130795431068575,10000.0,12782.820486610259,2782.8204866102587,27.828204866102585,45
2023-08-18,2023-10-23,26054.0,33069.99,27327.632744235456,0.49062794529094417,12782.820486610259,16225.06124449207,3442.240757881811,26.928648192216166,66
2024-08-05,2024-10-18,54018.81,68428.0,59017.10357384444,0.3003594719041769,16225.06124449207,20552.997943459017,4327.936698966947,26.6743936047462,74
2025-03-09,2025-05-01,80734.37,96489.91,83740.62292553039,0.25457556606262016,20552.997943459017,24563.973457581276,4010.9755141222595,19.51528202920271,53
