timestamp,open,high,low,close,volume,quote_volume,trades
2025-01-01,702.31,711.5,700.3,707.84,135703.339,95912659.04516,450993
2025-01-02,707.84,715.8,698.04,706.25,292533.811,206642127.74701,715222
2025-01-03,706.24,715.69,697.03,714.88,291701.675,206214578.80261,703090
2025-01-04,714.87,721.84,707.82,713.41,167274.262,119663318.91078,477042
2025-01-05,713.41,713.93,702.51,709.29,115144.345,81589551.0974,357365
2025-01-06,709.29,745.29,705.91,729.42,357347.859,259202689.33863,797928
2025-01-07,729.42,733.33,691.2,698.01,436096.682,311205654.41287,1160929
2025-01-08,698.0,707.46,674.72,696.03,427277.957,295988402.30722,1190705
2025-01-09,696.03,701.72,675.12,685.48,331906.578,229395154.56301,939316
2025-01-10,685.47,700.69,683.18,693.21,234590.487,162476464.702,738587
2025-01-11,693.21,701.47,690.39,696.7,87734.79,61027521.95983,334776
2025-01-12,696.71,698.63,689.8,693.34,78211.295,54271115.40096,300207
2025-01-13,693.35,700.0,660.0,688.64,386629.943,260749933.34469,1119948
2025-01-14,688.64,699.97,686.3,698.89,159723.609,110907862.84401,486074
2025-01-15,698.89,715.0,688.45,714.59,282718.752,198505959.43022,792835
2025-01-16,714.59,717.5,700.5,708.1,268104.726,190449199.40963,799246
2025-01-17,708.1,729.97,708.1,721.76,289751.278,208863892.21405,802129
2025-01-18,721.76,723.32,695.0,709.52,370480.456,261042036.22393,837865
2025-01-19,709.52,714.6,676.0,683.19,712985.298,494826558.77689,1623738
2025-01-20,683.2,709.38,671.0,682.51,668236.487,460253770.23451,2049759
2025-01-21,682.51,697.0,675.01,692.21,294203.471,201877994.17057,1220430
2025-01-22,692.21,704.13,689.93,695.52,218410.233,152163801.08273,778968
2025-01-23,695.52,697.65,680.26,689.74,331191.456,227449444.31795,1136767
2025-01-24,689.73,691.31,678.75,680.45,280584.305,192311060.58876,722265
2025-01-25,680.45,689.56,677.68,686.4,140203.276,96002980.7489,398257
2025-01-26,686.4,690.82,664.64,667.37,195887.168,133335964.38517,468081
2025-01-27,667.36,680.53,637.79,679.74,486667.795,319943135.41218,1736427
2025-01-28,679.75,682.88,659.4,661.29,202591.474,136320412.20259,698982
2025-01-29,661.28,680.01,659.37,667.97,255536.138,171429451.13217,829325
2025-01-30,667.97,682.99,666.0,677.53,145419.421,98572665.66848,458024
2025-01-31,677.53,689.44,673.5,677.47,190707.861,129837529.78904,578966
2025-02-01,677.48,681.56,650.73,652.94,177371.372,118479169.50354,572608
2025-02-02,652.94,663.22,600.0,617.8,506728.603,319686544.33016,2193785
2025-02-03,617.8,619.19,500.0,617.21,1340856.885,761429704.70862,4325820
2025-02-04,617.21,619.24,557.88,572.69,549571.473,320290589.1865,1769343
2025-02-05,572.69,580.0,561.22,569.55,227055.225,129716884.83023,925294
2025-02-06,569.55,589.99,568.87,571.72,334342.953,193969742.34818,1102386
2025-02-07,571.71,589.9,570.58,577.71,222673.88,129451341.96099,857222
2025-02-08,577.7,633.73,573.62,612.39,490805.546,297489199.61406,1061209
2025-02-09,612.39,648.13,602.4,615.81,774091.071,486494461.58509,1655609
2025-02-10,615.81,622.42,596.24,618.65,360129.038,218954195.88323,1383830
2025-02-11,618.65,646.94,615.08,642.11,488539.291,310084181.73871,1641560
2025-02-12,642.12,705.48,626.88,696.93,822216.623,547344272.16887,2332162
2025-02-13,696.92,732.0,658.28,664.72,1766921.695,1235503153.47365,4414763
2025-02-14,664.73,684.86,652.0,659.71,650460.875,435455485.36749,1781548
2025-02-15,659.72,671.43,653.46,662.21,255950.897,169188074.94996,994231
2025-02-16,662.21,686.04,653.11,673.1,362205.963,242885041.45402,1291598
2025-02-17,673.1,682.29,657.99,667.51,323350.276,217073600.40769,1237030
2025-02-18,667.52,668.3,629.65,648.18,366356.988,237605531.27277,1391692
2025-02-19,648.19,664.44,636.99,653.38,352798.243,230093608.31893,1191211
2025-02-20,653.38,659.03,645.88,656.36,215894.368,140683645.98812,881876
2025-02-21,656.36,668.5,635.0,647.47,317327.155,207737127.35011,1188753
2025-02-22,647.47,679.9,645.21,668.57,297923.184,197901565.80744,943929
2025-02-23,668.57,671.1,648.49,658.42,166658.013,110014935.59318,575895
2025-02-24,658.41,659.56,610.6,614.2,360147.153,228275603.70987,1455350
2025-02-25,614.19,628.7,586.0,623.49,647434.612,393335861.56722,2577232
2025-02-26,623.49,632.14,594.07,611.57,428035.431,263292239.55094,1692118
2025-02-27,611.57,619.77,595.84,605.41,295518.116,180214548.10665,1226636
2025-02-28,605.41,606.33,559.71,588.07,600999.319,348100030.61127,2432030
2025-03-01,588.07,609.48,586.4,607.93,292254.356,174627265.35593,907408
2025-03-02,607.94,635.01,601.5,623.94,469069.23,290922261.43101,1562454
2025-03-03,623.94,624.36,567.5,576.1,497949.879,296931073.33352,1973288
2025-03-04,576.09,588.75,546.83,584.01,488869.851,277254366.05704,2272449
2025-03-05,584.01,606.06,580.57,598.24,206205.988,122536170.87545,1100570
2025-03-06,598.25,612.9,589.2,596.5,223701.39,134753375.22754,988783
2025-03-07,596.49,610.2,577.23,594.77,289363.933,172750428.92419,1444209
2025-03-08,594.77,602.77,590.11,593.1,117220.631,69991200.96482,584699
2025-03-09,593.1,593.1,550.2,554.65,246382.904,140015234.56134,1116177
2025-03-10,554.65,573.4,523.01,531.49,410154.62,225187261.71934,1870843
2025-03-11,531.49,566.0,507.0,551.61,691870.521,377448189.6883,2542958
2025-03-12,551.61,574.95,544.63,569.87,367224.211,205368085.28517,1256293
2025-03-13,569.87,613.71,567.99,579.8,647497.028,379822302.22007,1747273
2025-03-14,579.8,589.81,576.61,587.76,213012.082,124194131.58567,762657
2025-03-15,587.76,619.96,587.49,619.83,254324.009,153638521.26638,782849
2025-03-16,619.82,622.8,593.06,602.2,255774.316,154620391.15023,894863
2025-03-17,602.21,643.72,602.04,631.69,591668.184,372213621.75484,1356953
2025-03-18,631.68,643.33,620.28,627.81,443437.833,280327124.87383,1122369
2025-03-19,627.81,628.2,604.36,618.7,399993.645,246061914.58732,1063862
2025-03-20,618.71,637.75,616.55,630.47,578472.125,363283126.57964,1595124
2025-03-21,630.47,637.8,624.92,635.17,262205.569,165876355.89652,898550
2025-03-22,635.16,636.1,623.79,627.01,140206.083,88175594.70204,553359
2025-03-23,627.01,629.14,619.5,623.79,155602.578,96944430.59188,554919
